assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS#,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Alliedsignal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00,all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,07-Jan-1995,DGCA/New-Misc/24,,,0:00, ,"Allied Signal Avionics Inc. Model VN-41B VHF navigation receivers, Part Number 066-1101-00, all Serial Number upto 4001 and Part Number 066-1101-01,066-1101-10, 066-1101-00,all Serial Number upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Navigation VHF / NAV receiver modification.,MIS,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Allied Signal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00, all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,07-Jan-1995,DGCA/New-Misc/24,,,0:00, ,"Allied Signal Avionics Inc. Model VN-41B VHF navigation receivers, Part Number 066-1101-00, all Serial Number upto 4001 and Part Number 066-1101-01,066-1101-10, 066-1101-00,all Serial Number upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Alliedsignal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00,all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Alliedsignal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00,all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Alliedsignal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00,all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Alliedsignal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00,all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,M024,34,BLA AD 95-053(AB),Naviagation VHF/NAV receiver modification,MIS,01-Jul-1995,DGCA/New-Misc/24,,,0:00, ,"Alliedsignal Avionics Inc. Model VN-41B VHF navigation receivers,P/N 066-1101-00,all S/N upto 4001 and P/N 066-1101-01, 066-1101-10, 066-1101-00,all S/N upto 10407."
BELL 429,DGCA/NEW-MISC/243 R2,26,EASA AD 2021-0185 R2,ATA 26 - Fire Protection - Hand-operated Fire Extinguishers - Inspection / Replacement.,MIS,26-Sep-2022,DGCA/NEW-MISC/243 R2,,,0:00, ,"HAFEX (Halon-free) hand-held fire extinguishers, having Part Number (P/N) P3APP003010A, P/N P3APP003010B or P/N P3APP003010C, all serial numbers (s/n)."
BELL 429,DGCA/NEW-MISC/244,26,FAA AD: 2021-22-07,"Joint Aircraft Service Component (JASC) Code: 2622, Fire Bottle, Portable.",MIS,14-Dec-2021,DGCA/NEW-MISC/244,,,0:00, ,"This AD applies to Umlaut Engineering GmbH (previously P3 Engineering GmbH) HAFEX (Halon-free) hand-held fire extinguisher (fire extinguisher) part numbers (P/Ns) P3APP003010A, P3APP003010B, and P3APP003010C. An affected fire extinguisher may be installed on, but not limited to, the following aircraft, certificated in any category"
BELL 429,DGCA/NEW-MISC/245,28,UK CAA AD: G-2021-0010-E,ATA 28 - Fuel -Cylinder Quick Shut-off Valve Mounting Flange - Inspection / Replacement.,MIS,14-Dec-2021,DGCA/NEW-MISC/245,,,0:00, ,This AD applies to Cameron Balloons Ltd
BELL 429,DGCA/NEW-MISC/245 R1,28,UK CAA AD: G-2021-0014,ATA 28 - Fuel -Cylinder Quick Shut-off Valve Mounting Flange - Inspection / Replacement.,MIS,14-Dec-2021,DGCA/NEW-MISC/245 R1,,,0:00, ,This AD applies to Cameron Balloons Ltd.
BELL 429,DGCA/NEW-MISC/246,31,FAA AD : 2021-23-12,"Air Transport Association (ATA) of America Code 31, Indicating/Recording System; 34, Navigation.",MIS,23-Dec-2021,DGCA/NEW-MISC/246,,,0:00, ,This AD applies to all transport and commuter category airplanes equipped with a radio (also known as radar) altimeter.
BELL 429,DGCA/NEW-MISC/246 R1,34,FAA AD : 2023-10-02,"Air Transport Association (ATA) of America Code 31, Indicating/Recording System; 34, Navigation.",MIS,04-Aug-2023,DGCA/NEW-MISC/246 R1,,,0:00, ,This AD applies to all transport and commuter category airplanes equipped with a radio (also known as radar) altimeter.
BELL 429,DGCA/NEW-MISC/247,34,FAA AD 2021-23-13,"Joint Aircraft Service Component (JASC) Code: 3444, Ground Proximity System.",MIS,23-Dec-2021,DGCA/NEW-MISC/247,,,0:00, ,"This AD applies to all helicopters, certificated in any category, equipped with a radio (also known as radar) altimeter."
BELL 429,DGCA/NEW-MISC/247 R1,34,FAA AD 2023-11-07,"Air Transport Association (ATA) of America Code 3444, Ground Proximity System.",MIS,27-Jul-2023,DGCA/NEW-MISC/247 R1,,,0:00, ,"This AD applies to all helicopters, certificated in any category, equipped with a radio (also known as radar) altimeter."
BELL 429,DGCA/NEW-MISC/248 R2,25,EASA AD : 2022-0029-E,ATA 25 - Equipment / Furnishings - Emergency Parachutes - Removal from Service.,MIS,23-Mar-2022,DGCA/NEW-MISC/248 R2,,,0:00, ,"ATL-88/90-1B (commercially known as ATL-15 SL) emergency parachutes, all serial numbers (s/n) manufactured from 2016."
BELL 429,DGCA/NEW-MISC/248R3,25,EASA AD : 2022-0029 R1,ATA 25 - Equipment / Furnishings - Emergency Parachutes - Removal from Service / Modification.,MIS,02-May-2022,DGCA/NEW-MISC/248R3,,,0:00, ,"ATL-88/90-1B (commercially known as ATL-15 SL) emergency parachutes, all serial numbers (s/n) manufactured from 2016, having Part Number (P/N) 09994, P/N 09995 or P/N 09996 (no suffix)."
BELL 429,DGCA/NEW-MISC/249,34,EASA AD : 2022-0024,ATA 34 - Navigation - Flight Management Computer 2 / Navigation Modules - Operational Limitations / Amendment,MIS,02-Mar-2022,DGCA/NEW-MISC/249,,,0:00, ,"Thales Flight Management Computer (FMC) 2 Navigation Modules (NAVM), identified by Part Number C13084CA03."
BELL 429,M025,79,FAA AD 96-12-22,Cessna engine oil filter adapter assembly,MIS#,31-Jul-1997,DGCA/New-Misc/25,,,0:00, ,"Cessna Engine Oil Filter Adapters Assemblies, P/N 0450404-(all dash nos), 0556004-(all dash nos), 0556010-(all dash nos), 0756023-(all dash nos), 0756024-(all dash nos), 1250403-(all dash nos), 125041"
BELL 429,M025,79,FAA AD 96-12-22,Cessna engine oil filter adapter assembly,MIS,31-Jul-1997,DGCA/New-Misc/25,,,0:00, ,"Cessna Engine Oil Filter Adapters Assemblies, P/N 0450404-(all dash nos), 0556004-(all dash nos), 0556010-(all dash nos), 0756023-(all dash nos), 0756024-(all dash nos), 1250403-(all dash nos), 125041"
BELL 429,M025,79,FAA AD 96-12-22,Cessna engine oil filter adapter assembly,MIS,31-Jul-1997,DGCA/New-Misc/25,,,0:00, ,"Cessna Engine Oil Filter Adapters Assemblies, P/N 0450404-(all dash nos), 0556004-(all dash nos), 0556010-(all dash nos), 0756023-(all dash nos), 0756024-(all dash nos), 1250403-(all dash nos), 125041"
BELL 429,M025,79,FAA AD 96-12-22,Cessna engine oil filter adapter assembly,MIS,31-Jul-1997,DGCA/New-Misc/25,,,0:00, ,"Cessna Engine Oil Filter Adapters Assemblies, P/N 0450404-(all dash nos), 0556004-(all dash nos), 0556010-(all dash nos), 0756023-(all dash nos), 0756024-(all dash nos), 1250403-(all dash nos).Airplanes equipped with any of the following Teledyne Continental Motors model or model series engines: O-200,O-470,IO-470,TSIO-470,O-520 IO-520,TSIO-520,GTSIO-520,IO-550,TSIO-550.(Refer AD for affected Aircrafts)."
BELL 429,M025,79,FAA AD 96-12-22,Cessna engine oil filter adapter assembly,MIS,31-Jul-1997,DGCA/New-Misc/25,,,0:00, ,"Cessna Engine Oil Filter Adapters Assemblies, P/N 0450404-(all dash nos), 0556004-(all dash nos), 0556010-(all dash nos), 0756023-(all dash nos), 0756024-(all dash nos), 1250403-(all dash nos), 125041"
BELL 429,M025,79,FAA AD 96-12-22,Cessna engine oil filter adapter assembly,MIS,31-Jul-1997,DGCA/New-Misc/25,,,0:00, ,"Cessna Engine Oil Filter Adapters Assemblies, P/N 0450404-(all dash nos), 0556004-(all dash nos), 0556010-(all dash nos), 0756023-(all dash nos), 0756024-(all dash nos), 1250403-(all dash nos), 125041"
BELL 429,DGCA/NEW-MISC/250,28,FAA AD 2022-03-15,"Joint Aircraft System Component (JASC) Code 2841, Fuel Quantity Indicator.",MIS,23-Mar-2022,DGCA/NEW-MISC/250,,,0:00, ,"This AD applies to all serial numbers of the airplane models listed in table 1 to paragraph (c), certificated in any category, that are either: 1.Modified with a Garmin G3X Touch Electronic Flight Instrument System 2. Modified with a Garmin GI 275 Multi-Function Display."
BELL 429,DGCA/NEW-MISC/251,26,FAA AD 2022-01-03,"Joint Aircraft Service Component (JASC) Code: 2622, Fire Bottle, Portable.",MIS,23-Mar-2022,DGCA/NEW-MISC/251,,,0:00, ,This AD applies to Umlaut Engineering GmbH (previously P3 Engineering GmbH) HAFEX (Halon-free) hand-held P3HAFEX fire extinguisher (fire extinguisher) part numbers P3APP003010A and P3APP003010C.
BELL 429,DGCA/NEW-MISC/252,35,FAA AD 2022-04-09,"Air Transport Association (ATA) of America Code 35, Oxygen System.",MIS,31-Mar-2022,DGCA/NEW-MISC/252,,,0:00, ,"This AD applies to AVOX Systems Inc. (formerly Scott Aviation) oxygen cylinder and valve assemblies having part number (P/N) 89794077, 89794015, 891511-14, 806835-01, 807982-01, or 808433-01."
BELL 429,DGCA/NEW-MISC/252 R1,35,FAA AD : 2023-13-11,"Air Transport Association (ATA) of America Code 35, Oxygen System.",MIS,18-Aug-2023,DGCA/NEW-MISC/252 R1,,,0:00, ,"This AD applies to AVOX Systems Inc. (formerly Scott Aviation) oxygen cylinder and valve assemblies having part number (P/N) 89794077, 89794015, 891511-14, 806835-01, 807982-01, or 808433-01."
BELL 429,DGCA/NEW-MISC/253,25,FAA AD: 2022-05-10,"Joint Aircraft Service Component (JASC) Code: 2500, Cabin Equipment/Furnishings.",MIS,18-Apr-2022,DGCA/NEW-MISC/253,,,0:00, ,"This AD applies to helicopters, certificated in any category, with an externally-mounted Goodrich hoist assembly (hoist)"
BELL 429,DGCA/NEW-MISC/254,62,FAA AD 2022-06-05,"Joint Aircraft System Component (JASC) Code: 6200, Main Rotor System.",MIS,18-Apr-2022,DGCA/NEW-MISC/254,,,0:00, ,"This AD applies to the following various restricted category helicopters with a main rotor hub strap pin (pin) part number 204-012-104-005 with a serial number prefix ""FNFS"""
BELL 429,DGCA/NEW-MISC/255,25,UK CAA AD: G-2022-0009,ATA 25 - Equipment / Furnishings - Lifejackets - Inspection.,MIS,13-May-2022,DGCA/NEW-MISC/255,,,0:00, ,"Survitec Group Limited (hereafter referred to as ""Survitec"" in this AD) Lifejackets Type 102 Mk 3 (Adult) ,102 Mk 4 (Crew) and 105 Mk 1 (Infant)."
BELL 429,DGCA/NEW-MISC/256,85,FAA AD: 2022-16-03,"Joint Aircraft System Component (JASC) Code 8500, Engine (RECIPROCATING).",MIS,02-Sep-2022,DGCA/NEW-MISC/256,,,0:00, ,"(1) Continental Aerospace Technologies, Inc. reciprocating engine. (2) Lycoming Engines and Textron Lycoming/Subsidiary of Textron, Inc. reciprocating engine."
BELL 429,DGCA/NEW-MISC/257,25,FAA AD 2023-12-25,"Air Transport Association (ATA) of America Code 25, Equipment/Furnishings.",MIS,07-Aug-2023,DGCA/NEW-MISC/257,,,0:00, ,"This AD applies to Survitec Group Limited (RFD Beaufort Ltd.) life jackets identified in paragraphs (c)(1) and (2) of this AD, having a part number and serial number identified in tables 2 through 13 of Survitec [RFD] Alert Service Bulletin 25-207-A, Version 1, dated November 24, 2021, and a date of manufacture between October 1, 2018, and April 30, 2019, inclusive."
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and damage to the a/c",MIS#,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and damage to the a/c",MIS,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and damage to the a/c",MIS,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and damage to the a/c",MIS,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and to the Aircraft.",MIS,13-Jan-1967,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture, which could result in an uncontained APU failure and damage to the A/C.",MIS,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and to the Aircraft.",MIS,13-Jan-1967,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1."
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and damage to the a/c",MIS,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M026,49,FAA AD 96-25-12,"To prevent compressor wheel rupture ,which could result in an uncontained APU failure and damage to the a/c",MIS,13-Jan-1997,DGCA/New-Misc/26,,,0:00, ,"Sundstrand Aerospace Models T-62T-40C series auxiliary power units (APUs), with compressor wheel, P/N 162690-1, 165111-1, and 167200-1"
BELL 429,M027,25,BV AD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS#,28-Jul-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,25,BV AD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS,28-Jul-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,1,BV AD 97-134(AB),SICMA AERO-SEAT(Pax seat) leg collar,MIS,28-Jun-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,1,BV AD 97-134(AB),SICMA AERO-SEAT(Pax seat) leg collar,MIS,28-Jun-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,25,BV AD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS,28-Jul-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,25,BVAD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS,18-Jun-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,25,BV AD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS,28-Jul-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,25,BV AD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS,28-Jul-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M027,25,BV AD 97-134(AB),SICMA AERO-SEAT(Pax Seat) Leg Collar,MIS,28-Jul-1997,DGCA/New-Misc/27,,,0:00, ,"Applicable to SICMA AERO-SEAT seats, For P/n and S/N refer this AD, equippped with leg collars P/N 95-000100-008-0."
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected A/C,MIS#,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999"
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding Altimeter information between affected A/C.,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999."
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected A/C,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999"
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected A/C,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999"
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected Aircraft.,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic One TimeControl (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999.Comment Issue: Problem Occurs Only on Aircraft Operating Above 10,000 Feet and the AD Should Be Limited to Only Those Aircraft Operating in Instrument Flight Rule (IFR) Conditions"
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected Aircraft.,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;Part Number 066-1062-00/10/02; Serial Number 93,000 through 109,999."
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected A/C,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999"
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected A/C,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999"
BELL 429,M028,31,FAA AD 98-14-03,To prevent transmission of misleading encoding altimeter information between affected A/C,MIS,16-Aug-1998,DGCA/New-Misc/28,,,0:00, ,"AlliedSignal KT 76A Air Traffic Control (ATC) transponders;P/N 066-1062-00/10/02; S/N 93,000 through 109,999"
BELL 429,M029,37,FAA AD 98-23-01 & BLA AD 1998-141/2,Vaccum dry air pump flexible coupling-Inspection/Replacement,MIS#,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,37,FAA AD 98-23-01,Inspection/Replacement of-Vacuum dry air pump flexible coupling,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps, conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,100,FAA AD 98-23-01 and BLA AD 1998-141/2,Inspection/ Replacement of Vaccum Dry Air Pump Flexible Coupling,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,37,FAA AD 98-23-01,Vaccum dry air pump flexible coupling-Inspection/Replacement,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,37,FAA AD 98-23-01,Vaccum dry air pump flexible coupling-Inspection/Replacement,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,37,FAA AD 98-23-01,Vaccum dry air pump flexible coupling-Inspection/Replacement,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,37,FAA AD 98-23-01,Vaccum dry air pump flexible coupling-Inspection/Replacement,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,37,FAA AD 98-23-01 and BLA AD 1998-141/2,Vaccum dry air pump flexible coupling-Inspection/ Replacement,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M029,100,FAA AD 98-23-01 and BLA AD 1998-141/2,Inspection/ Replacement of Vaccum Dry Air Pump Flexible Coupling,MIS,10-Nov-1998,DGCA/New-Misc/29,,,0:00, ,"Airborne dry air pumps,conversion kits,coupling kits,with flexible coupling P/N B1-19-1 have date code of either ""12/97"" or ""5-6/98""."
BELL 429,M030,26,FAA AD 98-21-21R1,To prevent smoke and a possible fire in the cockpit caused by overheating of the electric door seal inflation systems,MIS#,01-May-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,52,FAA AD 98-21-21R1,To prevent smoke and a possible fire in the cockpit caused by overheating of the electric door seal inflation systems,MIS,01-May-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,26,FAA AD 98-21-21R1,To prevent smoke and possible fire in the cockpit caused by overheating of the electric door seal inflation syatem.,MIS,04-Jan-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,52,FAA AD 98-21-21R1,To prevent smoke and possible fire in the cockpit caused by overheating of the electric door seal inflation system,MIS,30-Oct-1998,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,52,FAA AD 98-21-21R1,To prevent smoke and a possible fire in the cockpit caused by overheating of the electric door seal inflation systems,MIS,01-May-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,52,FAA AD 98-21-21R1,To prevent smoke and a possible fire in the cockpit caused by overheating of the electric door seal inflation systems,MIS,01-May-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,26,FAA AD 98-21-21R1,To prevent smoke and possible fire in the cockpit caused by overheating of the electric door seal inflation syatem.,MIS,04-Jan-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,52,FAA AD 98-21-21R1,To prevent smoke and a possible fire in the cockpit caused by overheating of the electric door seal inflation systems,MIS,01-May-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M030,52,FAA AD 98-21-21R1,To prevent smoke and a possible fire in the cockpit caused by overheating of the electric door seal inflation systems,MIS,01-May-2000,DGCA/New-Misc/30,,,0:00, ,"Electric inflatable door seals equipped with Bob Fields aerocessories,IAW applicable supplemental type certificate(STC) or through field approval.(For further info refer AD)"
BELL 429,M031,25,FAA AD 98-25-10 R1,To prevent failure of seat restraint system,MIS#,14-Jan-2000,DGCA/New-Misc/31,,,0:00, ,"Aircraft Belts Model CS,CT,FM, FN,GK, GL,JD,JE,JTJU,MD,ME,MM,NB,PM,PN,RG, and RH seat restraint systems.(For futher info refer AD)"
BELL 429,M031,25,FAA AD 98-25-10 R1,To prevent failure of seat restraint system,MIS,14-Jan-2000,DGCA/New-Misc/31,,,0:00, ,"Aircraft Belts Model CS,CT,FM, FN,GK, GL, JD, JE, JTJU, MD, ME, MM, NB, PM, PN, RG and RH seat restraint systems.(For futher info refer AD)."
BELL 429,M031,1,FAA AD 98-25-10R1,To prevent failure of seat restraint system,MIS,14-Jan-2000,DGCA/New-Misc/31,,,0:00, ,"Aircraft Belts Model CS, CT, FM,FN,GK, GL, JD, JE, JTJU, MD,ME,MM,NB,PM,PN, RG, and RH seat restraint systems.(For futher info refer AD)."
BELL 429,M031,25,FAA AD 98-25-10 R1,To prevent failure of seat restraint system,MIS,14-Jan-2000,DGCA/New-Misc/31,,,0:00, ,"Aircraft Belts Model CS,CT,FM, FN,GK, GL,JD,JE,JTJU,MD,ME,MM,NB,PM,PN,RG, and RH seat restraint systems.(For futher info refer AD)"
