tenant_id,franchise_id,code,description,parent_id,level,chapter_code,parent_code_ref,is_active
e42ec6fd-6b88-4721-befe-4443d9743120,,47,Inert Gas System,null,1,47,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,49,APU,null,1,49,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,50,Cargo and Accessory Compartments,null,1,50,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,51,Structure,null,1,51,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,52,Doors,null,1,52,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,53,Fuselage,null,1,53,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,54,Nacelle,null,1,54,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,55,Horiz. & Vert. stabilizers,null,1,55,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,56,Window,null,1,56,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,57,Wing,null,1,57,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,60,Standard Practices - Propeller / Rotor,null,1,60,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,61,Propeller,null,1,61,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,62,Rotors,null,1,62,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,63,Main Rotor Drive,null,1,63,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,64,Tail Rotor,null,1,64,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,65,Tail Rotor Drive,null,1,65,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,66,Tail Rotor Gearbox,null,1,66,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,67,Flight Control - Helicopter,null,1,67,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,70,Standard Practices Engine,null,1,70,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,71,Power Plant,null,1,71,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,72,Engine,null,1,72,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,73,Engine Fuel System,null,1,73,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,74,Iginition,null,1,74,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,75,Engine Air,null,1,75,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,76,Engine controls,null,1,76,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,77,Engine Indicating,null,1,77,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,78,Exhaust,null,1,78,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,79,Oil System,null,1,79,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,80,Starting,null,1,80,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,81,Turbines,null,1,81,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,82,Water Injection,null,1,82,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,83,Accessory Gear Boxes,null,1,83,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,84,Propulsion Augmentation,null,1,84,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,85,Optional Equipment,null,1,85,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,88,Wiring / Harness,null,1,88,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,92,Wiring Elements,null,1,92,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,95,Instrument System,null,1,95,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,96,Battery,null,1,96,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,97,Antenna,null,1,97,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,98,Switches,null,1,98,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,99,Optional Equipment.,null,1,99,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,100,Others,null,1,100,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,101,Not an ATA Code. Assigned for DGCA Requirement,null,1,101,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,103,Weighing Of Aircarft,null,1,103,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,115,Flight Simulator Systems,null,1,115,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,116,Flight Simulator Cuing Systems,null,1,116,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,117,Fuel-MicroBiological Test,null,1,117,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,118,Weighing Of Cabin Fire Extinguisher,null,1,118,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,119,Battery CT,null,1,119,null,TRUE
